transaction_id,customer_id,order_date,price,quantity,discount,location,total_amount
TXN_709171,STD_172100123,2025-03-22T16:17:38.638+07:00,1934.02,9,0.08,Hai Phong,16013.686
TXN_386584,STD_172100123,2025-01-25T18:26:55.644+07:00,1994.7,10,0.17,Da Nang,16556.01
TXN_751722,STD_172100123,2024-11-06T04:58:02.798+07:00,1754.08,10,0.01,Hanoi,17365.39
TXN_173658,STD_172100123,2024-05-31T21:43:26.606+07:00,1959.58,8,0.04,Can Tho,15049.573
TXN_431920,STD_172100123,2024-09-18T21:37:25.776+07:00,1966.45,8,0.05,Da Nang,14945.02
TXN_580708,STD_172100123,2025-02-06T04:26:00.809+07:00,1804.08,10,0.05,Hai Phong,17138.758
TXN_434415,STD_172100123,2024-07-28T18:04:43.604+07:00,1997.83,10,0.17,Hanoi,16581.988
TXN_885612,STD_172100123,2024-08-12T23:34:57.724+07:00,1935.71,9,0.13,Hanoi,15156.61
TXN_288319,STD_172100123,2025-02-20T15:28:32.749+07:00,1635.58,10,0.02,Hai Phong,16028.685
TXN_313211,STD_172100123,2024-12-05T19:40:11.890+07:00,1686.3,10,0.1,Hanoi,15176.699
TXN_785325,STD_172100123,2024-06-21T04:03:27.893+07:00,1821.04,9,0.01,Hanoi,16225.466
TXN_941572,STD_172100123,2025-01-25T23:37:55.577+07:00,1888.99,10,0.18,Can Tho,15489.718
TXN_168217,STD_172100123,2025-01-17T19:47:26.649+07:00,1620.6,10,0.06,Hanoi,15233.64
TXN_812135,STD_172100123,2024-10-29T16:45:32.553+07:00,1925.37,9,0.03,Hai Phong,16808.48
TXN_991511,STD_172100123,2024-08-27T05:27:21.662+07:00,1988.69,10,0.22,Da Nang,15511.78
TXN_400525,STD_172100123,2024-09-03T01:26:00.724+07:00,1601.91,10,0.0,Can Tho,16019.101
TXN_959456,STD_172100123,2024-10-11T08:30:02.846+07:00,1624.82,10,0.08,Hanoi,14948.344
TXN_901218,STD_172100123,2024-05-06T05:42:37.847+07:00,1996.41,9,0.14,Hai Phong,15452.213
TXN_926413,STD_172100123,2024-04-30T04:35:53.782+07:00,1881.91,10,0.17,Da Nang,15619.853
TXN_327013,STD_172100123,2025-02-12T05:43:59.869+07:00,1800.55,10,0.05,Hai Phong,17105.225
TXN_728361,STD_172100123,2024-11-09T00:33:00.643+07:00,1876.7,10,0.16,Hai Phong,15764.28
TXN_275411,STD_172100123,2025-02-21T01:18:35.787+07:00,1832.84,10,0.14,Ho Chi Minh,15762.425
TXN_424655,STD_172100123,2024-08-21T06:22:07.628+07:00,1875.32,10,0.2,Da Nang,15002.56
TXN_481129,STD_172100123,2024-08-14T01:31:27.702+07:00,1747.63,10,0.08,Hai Phong,16078.197
TXN_528327,STD_172100123,2024-05-25T18:41:26.580+07:00,1687.07,9,0.0,Can Tho,15183.63
TXN_283955,STD_172100123,2024-07-09T11:33:34.669+07:00,1936.46,10,0.14,Hai Phong,16653.557
